id,account_age,no_of_follower,no_of_following,no_user_fav,no_list,no_tweet,num_char,num_digit,num_url,num_hashtag,num_user_mention,num_rt,is_spam
1532,3469,76968,122,2449,1663,15350,44,0,1,0,1,5,False
1533,1468,229,312,37288,46,39799,36,0,1,0,1,245,False
1534,1748,215,214,6206,2,1774,36,0,1,0,1,245,False
1535,1531,912,4997,38755,16,39419,68,2,1,1,1,24,False
1536,1468,76,128,180,4,7532,36,0,1,0,1,245,False
1537,1383,327,999,780,13,10077,36,0,1,0,1,245,False
1538,1481,49,207,2509,11,7265,80,0,2,0,0,0,False
1539,2778,311,550,26166,18,20669,68,2,1,1,1,24,False
1540,2649,287,1106,1512,10,7470,70,0,1,0,0,0,False
1541,2995,165,1785,1837,6,4670,36,0,1,0,1,245,False
1542,2744,4143,972,5010,74,48262,36,0,1,0,1,245,False
1543,2584,555,923,4353,14,3598,53,0,1,0,3,12,False
1544,3495,1048,304,1443,117,20805,12,4,1,0,0,0,False
1545,117,40,226,2688,0,2988,68,2,1,1,1,24,False
1546,3295,22806,3502,17214,886,26000,36,0,1,0,1,245,False
1547,13,14,134,55,0,77,36,0,1,0,1,245,False
1548,3255,1043,1638,14283,47,17146,68,2,1,1,1,24,False
1549,3126,266,417,4693,5,7091,36,0,1,0,1,245,False
1550,3126,266,417,4693,5,7091,36,0,1,0,1,245,False
1551,3120,1557,2621,107212,125,131945,36,0,1,0,1,245,False
1552,3492,882,2382,2271,15,951,70,0,1,0,1,0,False
1553,3107,139,117,190,25,14445,36,0,1,0,1,245,False
1554,1457,1340,2063,26836,42,37828,68,2,1,1,1,24,False
1555,3104,12845,12788,104543,724,96226,63,0,1,0,3,23,False
1556,2345,3592,4818,78287,85,141611,36,0,1,0,1,245,False
1557,1095,1633,2598,3370,4,42251,68,2,1,1,1,24,False
1558,2634,1743,1681,79845,162,127917,68,2,1,1,1,24,False
1559,3482,1850,872,3635,74,70020,68,2,1,1,1,24,False
1560,3508,1761,3952,1627,96,33941,36,0,1,0,1,245,False
1561,2205,372,561,31959,14,34035,38,0,1,2,4,4,False
1562,3315,2302,692,29317,1072,582938,68,2,1,1,1,24,False
1563,578,672,891,25036,4,14213,68,2,1,1,1,24,False
1564,3410,104,266,10922,29,17993,36,0,1,0,1,245,False
1565,3439,4540,4948,9082,4,42531,59,0,1,0,1,3,False
1566,2944,6133,6737,256318,790,534328,68,2,1,1,1,24,False
1567,1209,232,213,64234,5,28696,59,0,1,0,1,3,False
1568,1229,1989,4421,3767,288,31041,68,2,1,1,1,24,False
1569,3329,596,1609,3898,23,8986,50,0,2,0,3,0,False
1570,2798,432,645,1028,162,29274,68,2,1,1,1,24,False
1571,3625,54017,6285,18739,1988,44038,66,2,1,1,0,24,False
1572,3421,313,317,6104,1,2300,36,0,1,0,1,245,False
1573,1459,543,528,650,5,558,46,0,1,0,2,79,False
1574,2944,1121,1261,102876,41,109185,36,0,1,0,1,245,False
1575,1467,367,412,635,4,555,46,0,1,0,2,79,False
1576,2236,2427,5002,13299,18,70598,59,0,1,0,1,3,False
1577,2236,2427,5002,13299,18,70598,59,0,1,0,1,3,False
1578,3173,24,105,402,0,832,36,0,1,0,1,245,False
1579,1466,643,784,628,14,564,46,0,1,0,2,79,False
1580,1905,14,70,134,0,636,53,0,1,0,0,0,False
1581,1466,596,627,627,8,546,46,0,1,0,2,79,False
1582,3480,664,971,3120,19,45344,36,0,1,0,1,245,False
1583,2312,32,49,217,0,1257,61,0,1,0,1,0,False
1584,3026,228,233,29,13,4221,22,0,1,2,0,0,False
1585,831,113,108,1573,7,2039,48,0,2,0,1,84,False
1586,2392,906,987,38658,43,25486,36,0,1,0,1,245,False
1587,1607,77,370,1194,0,508,60,0,1,1,2,4,False
1588,2923,117,385,2837,12,4095,36,0,1,0,1,245,False
1589,3223,1005,1591,120,16,1061,36,0,1,0,1,245,False
1590,3120,149,104,16428,1,2778,78,0,1,0,1,1,False
1591,3312,384,619,3554,57,91532,36,0,1,0,1,245,False
1592,3251,17568,9703,18471,179,50532,57,0,1,0,0,3,False
1593,2156,1239,2259,147722,4,72789,36,0,1,0,1,245,False
1594,1541,340,555,20035,15,16373,63,0,1,0,0,1,False
1595,3597,1049,2578,45995,2,12495,36,0,1,0,1,245,False
1596,3597,1049,2578,45995,2,12495,36,0,1,0,1,245,False
1597,3267,754,495,1969,28,29100,36,0,1,0,1,245,False
1598,3054,170,3532,3026,14,16623,36,0,1,0,1,245,False
1599,1664,99,700,25,8,16326,36,0,1,0,1,245,False
1600,3404,1075,1654,7227,6,3820,36,0,1,0,1,245,False
1601,2715,672,1580,385,14,2650,36,0,1,0,1,245,False
1602,660,447,183,74073,5,58369,36,0,1,0,1,245,False
1603,2704,12,496,13159,2,15658,36,0,1,0,1,245,False
1604,1317,89,304,10827,0,2565,36,0,1,0,1,245,False
1605,2625,67,235,1593,6,5988,36,0,1,0,1,245,False
1606,3425,284,283,10871,29,25158,36,0,1,0,1,245,False
1607,3485,742,917,211015,4,86117,36,0,1,0,1,245,False
1608,2057,1109,804,922,19,21885,36,0,1,0,1,245,False
1609,3745,200,126,1097,11,23,5,0,1,0,0,0,False
1610,953,320,992,21970,29,32182,36,0,1,0,1,245,False
1611,1689,113,490,7229,23,3584,36,0,1,0,1,245,False
1612,3457,758,3745,3452,25,6962,36,0,1,0,1,245,False
1613,866,2151,1698,1314,8,11518,13,0,1,0,1,2,False
1614,2113,224,667,10178,6,2626,36,0,1,0,1,245,False
1615,2852,75,513,1311,1,2285,36,0,1,0,1,245,False
1616,2627,2535,5000,66234,12,64372,36,0,1,0,1,245,False
1617,3351,1775,1095,36114,186,278578,36,0,1,0,1,245,False
1618,886,101,141,13636,8,13210,36,0,1,0,1,245,False
1619,120,422,855,13269,1,13361,36,0,1,0,1,245,False
1620,120,422,855,13269,1,13361,36,0,1,0,1,245,False
1621,3178,1143,404,8495,48,12262,73,0,2,0,0,1,False
1622,2230,498,51,79,6,2879,36,0,1,0,1,245,False
1623,461,1003,125,97363,5,62145,36,0,1,0,1,245,False
1624,226,20,112,2258,0,271,36,0,1,0,1,245,False
1625,2477,478,1822,163073,3,80874,36,0,1,0,1,245,False
1626,3424,758,2009,13161,18,41601,36,0,1,0,1,245,False
1627,2340,1031,455,512,2,4829,36,0,1,0,1,245,False
1628,1753,1502,346,751,26,1356,60,0,1,1,2,4,False
1629,2826,18258,12297,9394,90,185718,24,0,1,4,0,0,False
1630,2236,415,809,3857,3,6270,36,0,1,0,1,245,True
1631,2652,487,1201,248,11,3538,53,0,1,0,3,12,False
1632,2848,228,76,65758,1,23731,36,0,1,0,1,245,False
1633,3423,7479,6324,42138,486,28629,36,0,1,0,1,245,False
