id,account_age,no_of_follower,no_of_following,no_user_fav,no_list,no_tweet,num_char,num_digit,num_url,num_hashtag,num_user_mention,num_rt,is_spam
1345,3196,4477,4576,7456,558,127771,81,0,1,0,1,19,False
1346,2552,438186,699,22,607,162254,41,4,1,4,0,1,False
1347,588,555,633,24058,8,17815,81,0,1,0,1,19,False
1348,1496,129,180,177,0,765,68,0,1,2,1,6,False
1349,183,1815,621,84435,26,68080,81,0,1,0,1,19,False
1350,2497,248,555,547,13,133690,38,0,2,2,1,174,False
1351,48,61,20,87,0,86,38,0,2,2,1,174,False
1352,3357,2680,627,30932,31,121704,38,0,2,2,1,174,False
1353,3326,225,214,747,21,3822,38,0,2,2,1,174,False
1354,2330,9749,9293,7956,16,9482,38,0,2,2,1,174,False
1355,3217,366,470,677,8,22647,38,0,2,2,1,174,False
1356,427,219,1096,2071,0,7731,81,0,1,0,1,19,False
1357,1847,721,404,5168,4,46209,38,0,2,2,1,174,False
1358,3687,6352192,432,271,48260,181845,72,0,2,0,0,19,False
1359,2380,832,359,20932,7,37273,38,0,2,2,1,174,False
1360,2874,287,20,76,1,910,38,0,2,2,1,174,False
1361,283,603,2795,17277,1,19688,56,0,1,4,1,12,False
1362,1192,366,181,2998,0,4834,38,0,2,2,1,174,False
1363,385,1627,1290,2319,16,13108,38,0,2,2,1,174,False
1364,1218,409,491,2187,6,10160,38,0,2,2,1,174,False
1365,2220,824,2585,4808,4,8136,38,0,2,2,1,174,False
1366,1166,85,248,35,0,109,38,0,2,2,1,174,False
1367,521,2649,4980,9946,1,8809,56,0,1,4,1,12,False
1368,438,16,12,73,0,1354,68,0,1,2,1,6,False
1369,1342,10,61,14,0,17,38,0,2,2,1,174,False
1370,651,227,457,36556,33,24030,38,0,2,2,1,174,False
1371,2424,64,339,453,4,1808,38,0,2,2,1,174,False
1372,3240,943,238,104,12,7790,53,6,1,0,0,0,False
1373,2338,5675,4171,1201,39,171191,38,0,2,2,1,174,False
1374,1783,832,919,352,2,9540,38,0,2,2,1,174,False
1375,3292,605,215,70296,31,65740,56,0,1,4,1,12,False
1376,1112,2538,2505,38010,18,40440,56,0,1,4,1,12,False
1377,0,9,12,0,0,39,38,0,2,2,1,174,False
1378,2153,490,4202,15033,14,20265,56,0,1,4,1,12,False
1379,2830,195,84,1126,16,41280,56,0,1,4,1,12,False
1380,1335,1726,255,8,58,28276,21,2,1,2,0,0,False
1381,3228,1247,109,27553,1,21614,56,0,1,4,1,12,False
1382,3212,1062,221,2822,24,24191,56,0,1,4,1,12,False
1383,1503,89200,393,347,342,71959,56,0,1,4,1,12,False
1384,3359,6437169,737,3056,6534,496350,47,0,2,4,0,12,False
1385,149,6,1,3,3,2882,68,4,2,0,0,0,False
1386,3022,1022481,231,14,77,60949,62,2,1,4,0,7,False
1387,2552,438186,699,22,607,162254,37,5,1,4,0,0,False
1388,1773,828,794,30025,18,16361,38,0,2,2,1,174,False
1389,2805,3326,2189,123191,63,108377,38,0,2,2,1,174,False
1390,3268,327,343,9032,3,5663,38,0,2,2,1,174,False
1391,3240,943,238,104,12,7790,69,10,1,0,0,0,False
1392,3430,2010,2234,2030,154,29042,39,0,1,0,2,0,False
1393,3150,564,543,5743,323,9527,50,0,1,4,0,0,False
1394,3240,943,238,104,12,7790,63,4,1,0,0,0,False
1395,2503,2448,4073,31342,13,33441,38,0,2,2,1,174,False
1396,1269,627,1025,3197,1,2505,38,0,2,2,1,174,False
1397,1179,360,151,92871,19,30202,38,0,2,2,1,174,False
1398,2416,223,545,2977,4,6660,38,0,2,2,1,174,False
1399,2702,281,122,5484,0,23529,38,0,2,2,1,174,False
1400,2151,4585,3851,35796,11,51415,38,0,2,2,1,174,False
1401,3106,2048,939,47724,18,122731,38,0,2,2,1,174,False
1402,2496,1398,1135,3251,26,2660,38,0,2,2,1,174,False
1403,864,122,856,18956,0,4770,38,0,2,2,1,174,False
1404,2521,2091,395,45995,29,49463,38,0,2,2,1,174,False
1405,3083,464,353,307,1,45369,38,0,2,2,1,174,False
1406,2349,388,373,86900,12,50560,38,0,2,2,1,174,False
1407,1530,13767,6427,207,47,32761,38,0,2,2,1,174,False
1408,2474,1350,572,6772,86,144425,38,0,2,2,1,174,False
1409,411,60,95,2975,0,7685,38,0,2,2,1,174,False
1410,3022,1022481,231,14,77,60949,56,4,1,4,0,0,False
1411,2222,149,99,4940,3,3967,38,0,2,2,1,174,False
1412,2296,522,904,52167,4,16360,38,0,2,2,1,174,False
1413,2067,660,152,5790,7,17308,38,0,2,2,1,174,False
1414,2684,1923,1142,1355,199,168196,38,0,2,2,1,174,False
1415,2508,2693,3120,7834,4,4016,38,0,2,2,1,174,False
1416,1284,3655,135,974,8,30740,38,0,2,2,1,174,False
1417,3389,537,915,3319,28,11505,38,0,2,2,1,174,False
1418,3326,1675812,362,95,2456,196789,36,0,2,2,0,174,False
1419,496,12,13,3,0,27933,34,2,2,0,0,0,False
1420,3240,943,238,104,12,7790,73,10,1,0,0,0,False
1421,161,769,601,4636,2,5230,68,0,1,2,1,6,False
1422,725,90,1838,1,0,7415,68,0,1,2,1,6,False
1423,2699,269,152,11829,0,6216,68,0,1,2,1,6,False
